color,director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,genres,actor_1_name,movie_title,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,movie_imdb_link,num_user_for_reviews,language,country,content_rating,budget,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes
Color,Gonzalo López-Gallego,228,86,17,205,Ryan Robbins,520,17683670,Horror|Mystery|Sci-Fi|Thriller,Warren Christie,Apollo 18 ,47227,1520,Andrew Airlie,0,cosmonaut|footprint|found footage|moon|secret mission,http://www.imdb.com/title/tt1772240/?ref_=fn_tt_tt_1,323,English,USA,PG-13,5000000,2011,270,5.2,1.33,0
 Black and White,Michel Hazanavicius,576,100,405,628,Ed Lauter,996,44667095,Comedy|Drama|Romance,Bérénice Bejo,The Artist ,190030,4606,Beth Grant,0,1920s|jack russell terrier|modern silent movie|movie star|movie studio,http://www.imdb.com/title/tt1655442/?ref_=fn_tt_tt_1,583,English,France,PG-13,15000000,2011,897,8,1.33,30000
Color,Hsiao-Hsien Hou,205,105,141,56,Chen Chang,1000,613556,Action|Drama,Qi Shu,The Assassin ,9427,1172,Satoshi Tsumabuki,1,black magic|china|love|refusal to kill|wuxia,http://www.imdb.com/title/tt3508840/?ref_=fn_tt_tt_1,87,Mandarin,Taiwan,Not Rated,15000000,2015,103,6.4,1.37,0
Color,Wes Anderson,536,99,0,670,Tom Wilkinson,13000,59073773,Adventure|Comedy|Crime|Drama,Bill Murray,The Grand Budapest Hotel ,475518,15082,F. Murray Abraham,0,first person narration|hotel|lobby boy|mentor protege relationship|painting,http://www.imdb.com/title/tt2278388/?ref_=fn_tt_tt_1,644,English,USA,R,25000000,2014,1000,8.1,1.37,149000
Color,Derek Cianfrance,377,112,310,616,Mike Vogel,33000,9701559,Drama|Romance,Ryan Gosling,Blue Valentine ,141425,35941,John Doman,0,dog hit by a car|dysfunctional family|falling in love|female in shower|unhappily married woman,http://www.imdb.com/title/tt1120985/?ref_=fn_tt_tt_1,283,English,USA,R,3500000,2010,2000,7.4,1.66,25000
Color,Robert Eggers,425,92,22,159,Kate Dickie,648,25138292,Horror|Mystery,Julian Richings,The Witch ,66483,1122,Ralph Ineson,0,black magic|goat|isolation|naked woman|witch,http://www.imdb.com/title/tt4263482/?ref_=fn_tt_tt_1,452,English,USA,R,3500000,2015,191,6.8,1.66,43000
Color,Drake Doremus,206,90,52,224,Charlie Bewley,34000,3388210,Drama|Romance,Jennifer Lawrence,Like Crazy ,46813,34983,Finola Hughes,1,girlfriend|immigration|long distance relationship|parents|student visa,http://www.imdb.com/title/tt1758692/?ref_=fn_tt_tt_1,150,English,USA,PG-13,250000,2011,487,6.7,1.78,12000
Color,Morgan Neville,149,91,9,13,Lou Adler,130,4946250,Documentary|Music,Sheryl Crow,20 Feet from Stardom ,9540,198,Merry Clayton,0,backup singer|band|bechdel test passed|concert footage|singer,http://www.imdb.com/title/tt2396566/?ref_=fn_tt_tt_1,80,English,USA,PG-13,1000000,2013,19,7.4,1.78,14000
Color,Maggie Carey,97,104,38,690,Alia Shawkat,801,3447339,Comedy|Romance,Donald Glover,The To Do List ,29517,2667,Scott Porter,7,feces in a swimming pool|female vomiting|high school|lifeguard|male objectification,http://www.imdb.com/title/tt1758795/?ref_=fn_tt_tt_1,79,English,USA,R,1500000,2013,727,5.8,1.78,0
Color,Reed Cowan,28,80,0,5,Emily Pearson,191,99851,Documentary,Dustin Lance Black,8: The Mormon Proposition ,1138,210,Gavin Newsom,0,church|marriage|mormon|mormon church|proposition,http://www.imdb.com/title/tt1484522/?ref_=fn_tt_tt_1,30,English,USA,R,2500000,2010,12,7.1,1.78,0
Color,Tim Heidecker,82,93,78,197,William Atherton,536,200803,Comedy,Michael Gross,Tim and Eric's Billion Dollar Movie ,7988,1467,Bob Ross,3,film in film|man with glasses|reference to steven spielberg|self referential|shopping mall,http://www.imdb.com/title/tt1855401/?ref_=fn_tt_tt_1,71,English,USA,R,3000000,2012,317,5.3,1.78,0
Color,David Nixon,19,110,13,221,Michael Bolten,439,2848578,Drama|Family,Robyn Lively,Letters to God ,3942,1567,Christopher Schmidt,0,cancer|faith|hope|letter|prayer,http://www.imdb.com/title/tt1462054/?ref_=fn_tt_tt_1,65,English,USA,PG,3500000,2010,399,6.3,1.78,0
Color,Christopher Landon,220,101,52,332,Gloria Sandoval,510,32453345,Fantasy|Horror|Thriller,Richard Cabral,Paranormal Activity: The Marked Ones ,31791,2161,Molly Ephraim,0,apartment|blood|demonic possession|neighbor|pentagram,http://www.imdb.com/title/tt2473682/?ref_=fn_tt_tt_1,155,English,USA,R,5000000,2014,358,5,1.78,10000
Color,Hyung-rae Shim,4,100,26,385,Stephanie Danielson,898,163591,Comedy,Jason Mewes,The Last Godfather ,912,2895,Michael Rispoli,5,mafia|mafia boss|mafiosi|mafioso|three word title,http://www.imdb.com/title/tt1584131/?ref_=fn_tt_tt_1,17,English,South Korea,PG-13,13400000,2010,391,3.6,1.78,502
Color,Amy Heckerling,54,92,143,613,Justin Kirk,1000,2964,Comedy|Horror|Romance,Taylor Negron,Vamps ,7444,3086,Ivan Sergei,2,murder|new york city|one word title|vampire|vampire slayer,http://www.imdb.com/title/tt1545106/?ref_=fn_tt_tt_1,42,English,USA,PG-13,16000000,2012,945,5.1,1.78,0
Color,Jeff Tremaine,156,101,79,218,Steve-O,608,117224271,Action|Comedy|Documentary,Bam Margera,Jackass 3D ,47794,1787,Chris Pontius,1,full frontal male nudity|man wearing a jock strap|man wearing a thong|rear male nudity|stripped prison uniform,http://www.imdb.com/title/tt1116184/?ref_=fn_tt_tt_1,81,English,USA,R,20000000,2010,362,7.1,1.78,0
Color,Taylor Hackford,49,117,138,416,Bai Ling,908,134904,Comedy|Drama|Romance|Sport,Scout Taylor-Compton,Love Ranch ,2395,3204,Gil Birmingham,9,argentine|brothel|cancer|female full frontal nudity|fight,http://www.imdb.com/title/tt1125929/?ref_=fn_tt_tt_1,17,English,USA,R,25000000,2010,581,5.7,1.78,636
Color,Raja Gosnell,172,103,67,111,Tim Gunn,383,142614158,Adventure|Animation|Comedy|Family|Fantasy,Mahadeo Shivraj,The Smurfs ,66593,692,Madison McKinley,3,blue|new york|new york city|no opening credits|smurf,http://www.imdb.com/title/tt0472181/?ref_=fn_tt_tt_1,153,English,USA,PG,110000000,2011,113,5.5,1.78,31000
Color,Michael Apted,228,113,150,59,Shane Rangi,531,104383624,Adventure|Family|Fantasy,Bruce Spence,The Chronicles of Narnia: The Voyage of the Dawn Treader ,106446,764,Laura Brent,4,dragon|king|mouse|quest|warrior,http://www.imdb.com/title/tt0980970/?ref_=fn_tt_tt_1,227,English,USA,PG,155000000,2010,82,6.3,1.78,11000
Color,Joe Swanberg,65,82,217,442,Lena Dunham,10000,30084,Comedy|Drama,Anna Kendrick,Happy Christmas ,5507,11642,Mark Webber,3,chicago illinois|drink|drinking|filmmaker|writer,http://www.imdb.com/title/tt2955096/?ref_=fn_tt_tt_1,23,English,USA,R,70000,2014,969,5.6,1.85,812
Color,Mike Cahill,242,92,135,259,William Mapother,574,1316074,Drama|Romance|Sci-Fi,Robin Lord Taylor,Another Earth ,71387,1303,Flint Beverage,1,duplicate earth|janitor|planet|solar system|synchronicity,http://www.imdb.com/title/tt1549572/?ref_=fn_tt_tt_1,228,English,USA,PG-13,100000,2011,399,7,1.85,21000
Color,Travis Cluff,159,81,3,7,Cassidy Gifford,220,22757819,Horror|Thriller,Pfeifer Brown,The Gallows ,13521,276,Reese Mishler,0,breaking and entering|gallows|hanging|high school|stage,http://www.imdb.com/title/tt2309260/?ref_=fn_tt_tt_1,150,English,USA,R,100000,2015,40,4.2,1.85,0
Color,Andrew Haigh,143,97,131,67,Chris New,507,469947,Drama|Romance,Tom Cullen,Weekend ,19846,654,Vauxhall Jermaine,0,coming out|fellatio|male in bathtub|male nudity|nudity,http://www.imdb.com/title/tt1714210/?ref_=fn_tt_tt_1,68,English,UK,Not Rated,120000,2011,75,7.7,1.85,0
Color,Bruce Dellis,10,95,0,309,Ricky Schroder,685,2468,Thriller,Tatyana Ali,Locker 13 ,241,2048,Jon Polito,3,digit in title|latino|life or death|philosophy|supernatural,http://www.imdb.com/title/tt1241226/?ref_=fn_tt_tt_1,5,English,USA,R,300000,2014,665,4.8,1.85,261
Color,Asghar Farhadi,354,123,0,620,Leila Hatami,786,7098492,Drama|Mystery,Shahab Hosseini,A Separation ,151812,2501,Peyman Moaadi,2,alzheimer's disease|caregiver|divorce|iran|iranian,http://www.imdb.com/title/tt1832382/?ref_=fn_tt_tt_1,264,Persian,Iran,PG-13,500000,2011,712,8.4,1.85,48000
Color,Quentin Dupieux,230,82,248,196,Jack Plotnick,353,98017,Comedy|Fantasy|Horror,Haley Ramm,Rubber ,26185,1498,Cecelia Antoinette,0,desert|dump|show|spectator|tire,http://www.imdb.com/title/tt1612774/?ref_=fn_tt_tt_1,170,English,France,R,500000,2010,248,5.8,1.85,46000
Color,Nick Tomnay,112,93,11,271,Clayne Crawford,443,48430,Comedy|Crime|Thriller,David Hyde Pierce,The Perfect Host ,20176,1452,Nathaniel Parker,1,arm tattoo|bank robbery|cauterizing a wound|dancing on a table|dinner party,http://www.imdb.com/title/tt1334553/?ref_=fn_tt_tt_1,73,English,USA,R,500000,2010,298,6.8,1.85,0
Color,Ryan Coogler,327,85,0,88,Melonie Diaz,282,16097842,Biography|Drama|Romance,Ahna O'Reilly,Fruitvale Station ,53919,687,Ariana Neal,0,22 year old|b.a.r.t.|bay area|birthday|police,http://www.imdb.com/title/tt2334649/?ref_=fn_tt_tt_1,168,English,USA,R,900000,2013,270,7.5,1.85,17000
Color,Anthony Powell,31,91,9,9,Tom Hamann,53,287761,Adventure|Biography|Documentary|Drama,Josh Swanson,Antarctica: A Year on Ice ,2482,86,Anthony Powell,1,antarctica,http://www.imdb.com/title/tt2361700/?ref_=fn_tt_tt_1,16,English,New Zealand,PG,1000000,2013,24,7.6,1.85,0
Color,Bradley Parker,270,86,18,300,Ingrid Bolsø Berdal,1000,18112929,Horror|Mystery|Sci-Fi|Thriller,Jesse McCartney,Chernobyl Diaries ,52642,2665,Jonathan Sadowski,0,abandoned building|chernobyl disaster|exploration|tour guide|van,http://www.imdb.com/title/tt1991245/?ref_=fn_tt_tt_1,271,English,USA,R,1000000,2012,466,5,1.85,24000
Color,Johnny Remo,2,112,74,891,Randy Wayne,260000,96734,Action|Drama,Matthew Ziff,Hardflip ,606,263584,Raquel Elizabeth Ames,3,family relationships|loss of mother|san diego california|single mother|suicide attempt,http://www.imdb.com/title/tt1907639/?ref_=fn_tt_tt_1,5,English,USA,PG-13,1000000,2012,984,5.6,1.85,706
Color,Joshua Oppenheimer,248,96,50,0,Herman Koto,3,484221,Biography|Crime|Documentary|History,Anwar Congo,The Act of Killing ,23836,6,Syamsul Arifin,1,death squad|mass killing|musical number|reference to guantanamo bay|surrealism,http://www.imdb.com/title/tt2375605/?ref_=fn_tt_tt_1,107,Indonesian,UK,Not Rated,1000000,2012,3,8.2,1.85,20000
Color,William Brent Bell,225,83,19,128,Claudiu Trandafir,403,53245055,Horror,Fernanda Andrade,The Devil Inside ,30570,988,Brian Johnson,0,critically bashed|demonic possession|exorcism|exorcist|found footage,http://www.imdb.com/title/tt1560985/?ref_=fn_tt_tt_1,290,English,USA,R,1000000,2012,169,4.2,1.85,12000
Color,Ben Lewin,337,95,20,365,Adam Arkin,422,5997134,Biography|Comedy|Drama|Romance,W. Earl Brown,The Sessions ,36381,1899,Rhea Perlman,3,falling in love|iron lung|priest|sex surrogate|therapist,http://www.imdb.com/title/tt1866249/?ref_=fn_tt_tt_1,126,English,USA,R,1000000,2012,374,7.2,1.85,11000
Color,Levan Gabriadze,270,83,6,142,Renee Olstead,707,31537320,Horror|Mystery|Thriller,Shelley Hennig,Unfriended ,44329,1565,Heather Sossaman,0,blender|computer screen|secret|skype|webcam,http://www.imdb.com/title/tt3713166/?ref_=fn_tt_tt_1,309,English,USA,R,1000000,2014,305,5.7,1.85,13000
Color,Gareth Evans,481,102,338,60,Yayan Ruhian,1000,4105123,Action|Crime|Thriller,Iko Uwais,The Raid: Redemption ,148221,1445,Donny Alamsyah,0,apartment|drug lord|gangster|police|swat team,http://www.imdb.com/title/tt1899353/?ref_=fn_tt_tt_1,316,Indonesian,Indonesia,R,1100000,2011,342,7.6,1.85,51000
Color,Steve Taylor,38,108,14,274,Marshall Allman,1000,594904,Comedy|Drama,Jason Marsden,Blue Like Jazz ,2582,1805,Eric Lange,0,church|college|color in title|philosophy|texas,http://www.imdb.com/title/tt1758575/?ref_=fn_tt_tt_1,89,English,USA,PG-13,1200000,2012,330,6,1.85,0
